pillar,area,item_id,title,detection_source,detection_signal,doctor_check_id,status,reference_url
Security,Identity,waf.security.local_auth_disabled,Disable local (key-based) auth on the AI account,azure_resources,account.disable_local_auth == true,waf.security.local_auth_disabled,implemented,https://learn.microsoft.com/azure/well-architected/ai/security
Security,Identity,waf.security.managed_identity,Use managed identity for the AI account,azure_resources,"account.identity.type in {SystemAssigned, UserAssigned}",waf.security.managed_identity,implemented,https://learn.microsoft.com/azure/well-architected/ai/security
Security,Telemetry,waf.security.diagnostic_settings,Diagnostic settings forward logs to a workspace,azure_resources,account has at least one diagnostic setting with a workspace_id,waf.security.diagnostic_settings,implemented,https://learn.microsoft.com/azure/well-architected/ai/security
ResponsibleAI,ContentSafety,waf.rai.safety_metric_hit,Content-safety evaluator flagged a row in the latest eval,results_history,"row metric >= severity_floor on Violence/SelfHarm/Sexual/HateUnfairness",safety,implemented,https://learn.microsoft.com/azure/ai-foundry/concepts/evaluation-metrics-built-in
ResponsibleAI,ContentSafety,waf.rai.runtime_content_filter,Content-filter triggers detected in production,azure_monitor,KQL hits on gen_ai.response.finish_reasons contains content_filter,safety.runtime.content_filter,implemented,https://learn.microsoft.com/azure/ai-foundry/concepts/content-filtering
ResponsibleAI,ContinuousEval,waf.rai.continuous_eval_missing,Continuous evaluation rules attached to agents,foundry_control,foundry.evaluation_rules is empty while agents exist,safety.config.continuous_eval_missing,implemented,https://learn.microsoft.com/azure/ai-foundry/how-to/online-evaluation
ResponsibleAI,ContinuousEval,waf.rai.continuous_eval_disabled,Continuous evaluation rules enabled,foundry_control,any evaluation_rule.enabled == false,safety.config.continuous_eval_disabled,implemented,https://learn.microsoft.com/azure/ai-foundry/how-to/online-evaluation
OperationalExcellence,CI-CD,waf.opex.unpinned_agent,Agent target is pinned to a version,workspace_files,"agentops.yaml agent: lacks :version (or :latest)",opex.unpinned_agent,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,CI-CD,waf.opex.thresholds_defined,agentops.yaml declares explicit thresholds,workspace_files,agentops.yaml has no thresholds: block,opex.no_thresholds,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,CI-CD,waf.opex.pr_gate,Repository has an AgentOps PR gate,workspace_files,.github/workflows/agentops-pr.yml exists,opex.no_pr_gate,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
OperationalExcellence,CI-CD,waf.opex.deploy_gate,Repository has AgentOps deploy workflows,workspace_files,at least one .github/workflows/agentops-deploy-*.yml exists,opex.no_deploy_workflow,implemented,https://learn.microsoft.com/azure/well-architected/ai/operations
